Customer ID,Recency,Frequency,Monetary,Frequency_log,Monetary_log,DBSCAN_Cluster,KMeans_Cluster
12346.0,326,12,77556.46,2.5649493574615367,11.258774359980725,-1,0
12347.0,2,8,5633.32,2.1972245773362196,8.63663174483544,0,0
12348.0,75,5,2019.4,1.791759469228055,7.6110507905938976,0,0
12349.0,19,4,4428.69,1.6094379124341003,8.39608488316401,0,0
12350.0,310,1,334.4,0.6931471805599453,5.815323849389109,1,1
12351.0,375,1,300.93,0.6931471805599453,5.710195202428391,1,1
12352.0,36,10,2849.84,2.3978952727983707,7.9553689666784315,0,0
12353.0,204,2,406.76,1.0986122886681098,6.010678766031786,0,1
12354.0,232,1,1079.4,0.6931471805599453,6.985086621918461,1,1
12355.0,214,2,947.61,1.0986122886681098,6.854997755239065,0,1
12356.0,23,6,6373.68,1.9459101490553132,8.76008917268833,0,0
12357.0,33,3,18287.66,1.3862943611198906,9.814036474622236,-1,0
12358.0,2,5,3887.07,1.791759469228055,8.265668169533484,0,0
12359.0,58,10,8935.94,2.3978952727983707,9.097948527696552,0,0
12360.0,52,8,4252.89,2.1972245773362196,8.355589137409874,0,0
12361.0,287,4,511.25,1.6094379124341003,6.238812787119009,0,1
12362.0,3,11,5356.23,2.4849066497880004,8.586202329437555,0,0
12363.0,110,2,552.0,1.0986122886681098,6.315358001522335,0,1
12364.0,8,4,1313.1,1.6094379124341003,7.180907299649593,0,0
12365.0,291,2,641.38,1.0986122886681098,6.465180028897591,0,1
12366.0,634,1,500.24,0.6931471805599453,6.217085028297085,1,1
12367.0,4,1,168.9,0.6931471805599453,5.135210028677887,1,1
12368.0,628,1,917.6999999999999,0.6931471805599453,6.822959627277421,1,1
12369.0,413,3,1791.15,1.3862943611198906,7.491171295388921,0,1
12370.0,51,7,4320.31,2.0794415416798357,8.371313876010715,0,0
12371.0,45,5,4067.38,1.791759469228055,8.31100016480189,0,0
12372.0,72,3,1298.04,1.3862943611198906,7.169380809114136,0,0
12373.0,311,3,1127.65,1.3862943611198906,7.028777507229587,0,1
12374.0,25,4,2989.2200000000003,1.6094379124341003,8.003102242273277,0,0
12375.0,11,2,457.5,1.0986122886681098,6.127960291696519,0,1
12376.0,390,2,503.15,1.0986122886681098,6.222873842839224,0,1
12377.0,315,4,3426.32,1.6094379124341003,8.139533893646055,0,0
12378.0,130,2,5416.32,1.0986122886681098,8.597356507200939,0,0
12379.0,82,4,1620.22,1.6094379124341003,7.390934231218893,0,0
12380.0,22,11,9676.300000000001,2.4849066497880004,9.177538215743802,0,0
12381.0,5,5,1845.31,1.791759469228055,7.520944331624911,0,0
12383.0,185,5,1850.56,1.791759469228055,7.523783805985769,0,0
12384.0,29,2,585.27,1.0986122886681098,6.373780434317173,0,1
12385.0,379,1,1938.4,0.6931471805599453,7.570133925870446,1,1
12386.0,338,2,660.8,1.0986122886681098,6.4949633954875114,0,1
12387.0,415,1,143.94,0.6931471805599453,4.976319863681136,1,1
12388.0,16,8,3901.11,2.1972245773362196,8.269272711457157,0,0
12389.0,403,3,1433.33,1.3862943611198906,7.268453120207762,0,1
12390.0,80,1,549.84,0.6931471805599453,6.311444385858925,1,1
12391.0,22,6,2773.42,1.9459101490553132,7.928196995326099,0,0
12392.0,591,1,234.75000000000003,0.6931471805599453,5.462771921513567,1,1
12393.0,72,6,2399.4500000000003,1.9459101490553132,7.783411498760109,0,0
12394.0,64,2,1272.48,1.0986122886681098,7.149508589545504,0,1
12395.0,19,15,5067.27,2.772588722239781,8.53075481547577,0,0
12396.0,674,1,931.43,0.6931471805599453,6.837794081676172,1,1
12397.0,36,2,2409.9,1.0986122886681098,7.7877554007552545,0,0
12398.0,46,1,1635.6599999999999,0.6931471805599453,7.4004128587924045,1,1
12399.0,119,7,1962.3,2.0794415416798357,7.582382009904704,0,0
12400.0,414,1,205.25,0.6931471805599453,5.32908902521479,1,1
12401.0,303,1,84.3,0.6931471805599453,4.446174454497633,1,1
12402.0,323,6,1256.9,1.9459101490553132,7.137198942844827,0,0
12403.0,50,2,1019.36,1.0986122886681098,6.927910785185701,0,1
12404.0,682,1,63.24,0.6931471805599453,4.162626069638506,1,1
12405.0,149,1,1710.39,0.6931471805599453,7.445061184797548,1,1
12406.0,22,5,6390.36,1.791759469228055,8.762702357276806,0,0
12407.0,50,5,1708.1200000000001,1.791759469228055,7.4437338971514055,0,0
12408.0,33,8,4340.7699999999995,2.1972245773362196,8.37603737805411,0,0
12409.0,79,7,23419.29,2.0794415416798357,10.061358019654037,0,0
12410.0,309,3,1013.71,1.3862943611198906,6.9223581363660704,0,1
12411.0,410,1,346.9,0.6931471805599453,5.8519150821578965,1,1
12412.0,75,6,2596.93,1.9459101490553132,7.862470253064629,0,0
12413.0,67,4,999.45,1.6094379124341003,6.908205177762502,0,0
